time_s	dy_m
38.112011	0.038194
38.145355	0.037303
38.178699	0.037302
38.212042	0.037303
38.245386	0.037303
38.278730	0.037303
38.312074	0.037303
38.345418	0.037303
38.378762	0.037303
38.412105	0.037303
38.445449	0.037303
38.478793	0.037303
38.512137	0.037292
38.545481	0.038186
38.578825	0.038186
38.612169	0.038186
38.645512	0.038185
38.678856	0.039080
38.712200	0.039080
38.745544	0.039080
38.778888	0.039080
38.812232	0.039080
38.845575	0.039075
38.878919	0.039075
38.912263	0.039075
38.945607	0.039075
38.978951	0.039074
39.012295	0.039074
39.045638	0.039072
39.078982	0.038197
39.112326	0.037291
39.145670	0.038190
39.179014	0.038190
39.212358	0.038190
39.245702	0.038190
39.279045	0.038190
39.312389	0.038190
39.345733	0.038190
39.379077	0.038182
39.412421	0.039076
39.445765	0.039076
39.479108	0.039076
39.512452	0.039076
39.545796	0.039076
39.579140	0.039076
39.612484	0.039076
39.645828	0.039076
39.679171	0.039076
39.712515	0.039077
39.745859	0.039076
39.779203	0.039076
39.812547	0.039076
39.845891	0.039077
39.879234	0.039077
39.912578	0.039077
39.945922	0.039077
39.979266	0.039077
40.012610	0.039077
40.045954	0.039077
40.079298	0.039077
40.112641	0.039076
40.145985	0.039077
40.179329	0.039073
40.212673	0.039964
40.246017	0.039964
40.279361	0.039964
40.312704	0.039964
40.346048	0.039964
40.379392	0.039964
40.412736	0.039964
40.446080	0.039964
40.479424	0.039964
40.512767	0.039964
40.546111	0.039964
40.579455	0.039964
40.612799	0.039964
40.646143	0.039964
40.679487	0.039964
40.712831	0.039964
40.746174	0.039965
40.779518	0.039965
40.812862	0.039965
40.846206	0.039964
40.879550	0.039964
40.912894	0.039965
40.946237	0.039964
40.979581	0.039960
41.012925	0.040851
41.046269	0.040851
41.079613	0.040851
41.112957	0.040851
41.146300	0.040851
41.179644	0.040851
41.212988	0.040851
41.246332	0.040851
41.279676	0.040851
41.313020	0.040851
41.346364	0.040851
41.379707	0.040851
41.413051	0.040851
41.446395	0.040851
41.479739	0.040852
41.513083	0.040851
41.546427	0.040851
41.579770	0.040852
41.613114	0.040851
41.646458	0.040848
41.679802	0.040848
41.713146	0.040848
41.746490	0.040852
41.779833	0.040847
41.813177	0.041738
41.846521	0.041738
41.879865	0.041738
41.913209	0.041738
41.946553	0.041738
41.979897	0.041738
42.013240	0.041738
42.046584	0.041738
42.079928	0.041738
42.113272	0.041738
42.146616	0.041738
42.179960	0.041738
42.213303	0.041738
42.246647	0.041738
42.279991	0.041738
42.313335	0.041738
42.346679	0.041738
42.380023	0.041739
42.413366	0.041738
42.446710	0.041739
42.480054	0.041738
42.513398	0.041738
42.546742	0.041739
42.580086	0.041733
42.613429	0.042626
42.646773	0.042626
42.680117	0.042626
42.713461	0.042626
42.746805	0.042626
42.780149	0.042626
42.813493	0.042626
42.846836	0.042626
42.880180	0.042626
42.913524	0.042626
42.946868	0.042626
42.980212	0.042626
43.013556	0.042627
43.046899	0.042627
43.080243	0.042621
43.113587	0.043516
43.146931	0.043516
43.180275	0.043517
43.213619	0.043517
43.246962	0.043517
43.280306	0.043517
43.313650	0.043513
43.346994	0.043513
43.380338	0.043513
43.413682	0.043513
43.447026	0.043513
43.480369	0.043513
43.513713	0.043513
43.547057	0.043513
43.580401	0.043513
43.613745	0.043513
43.647089	0.043513
43.680432	0.043513
43.713776	0.043513
43.747120	0.043513
43.780464	0.043513
43.813808	0.043513
43.847152	0.043513
43.880495	0.043513
43.913839	0.043513
43.947183	0.043513
43.980527	0.043513
44.013871	0.043508
44.047215	0.044400
44.080559	0.044400
44.113902	0.044400
44.147246	0.044400
44.180590	0.044400
44.213934	0.044400
44.247278	0.044400
44.280622	0.044400
44.313965	0.044400
44.347309	0.044400
44.380653	0.044400
44.413997	0.044400
44.447341	0.044395
44.480685	0.043521
44.514028	0.042615
44.547372	0.043514
44.580716	0.043514
44.614060	0.043514
44.647404	0.043514
44.680748	0.043531
44.714092	0.045291
44.747435	0.045291
44.780779	0.045291
44.814123	0.045291
44.847467	0.045285
44.880811	0.045285
44.914155	0.045287
44.947498	0.045285
44.980842	0.045287
45.014186	0.045285
45.047530	0.045285
45.080874	0.045285
45.114218	0.045287
45.147561	0.045285
45.180905	0.045287
45.214249	0.045287
45.247593	0.045287
45.280937	0.045285
45.314281	0.045287
45.347625	0.045283
45.380968	0.046179
45.414312	0.046179
45.447656	0.046179
45.481000	0.046179
45.514344	0.046178
45.547688	0.046179
45.581031	0.046179
45.614375	0.046179
45.647719	0.046179
45.681063	0.046179
45.714407	0.046179
45.747751	0.046179
45.781094	0.046179
45.814438	0.046179
45.847782	0.046179
45.881126	0.046179
45.914470	0.046179
45.947814	0.046179
45.981157	0.046172
46.014501	0.046179
46.047845	0.046172
46.081189	0.046172
46.114533	0.046172
46.147877	0.046170
46.181221	0.045295
46.214564	0.044389
46.247908	0.045278
46.281252	0.046172
46.314596	0.046170
46.347940	0.047065
46.381284	0.047066
46.414627	0.047066
46.447971	0.047066
46.481315	0.047066
46.514659	0.047066
