time_s	angle_deg
125.472876	13.499986
125.506220	13.499987
125.539563	13.499987
125.572907	13.499987
125.606251	13.499987
125.639595	13.499987
125.672939	13.499987
125.706283	13.499987
125.739626	13.499987
125.772970	13.499987
125.806314	15.199987
125.839658	13.499986
125.873002	13.499986
125.906346	14.199986
125.939690	13.499986
125.973033	14.499986
126.006377	13.499986
126.039721	13.499987
126.073065	13.499987
126.106409	13.099987
126.139753	13.499987
126.173096	13.499987
126.206440	13.499987
126.239784	13.499987
126.273128	13.499987
126.306472	13.499987
126.339816	13.499987
126.373159	13.499987
126.406503	13.499987
126.439847	13.499987
126.473191	13.499987
126.506535	13.099987
126.539879	13.499987
126.573223	14.199987
126.606566	13.499987
126.639910	13.499987
126.673254	13.499987
126.706598	13.499987
126.739942	13.499987
126.773286	13.499987
126.806629	13.499987
126.839973	15.199987
126.873317	13.499986
126.906661	13.499986
126.940005	13.499986
126.973349	13.499986
127.006692	13.499986
127.040036	11.799986
127.073380	13.499987
127.106724	13.499987
127.140068	13.499987
127.173412	13.499987
127.206756	13.499987
127.240099	13.499987
127.273443	13.499987
127.306787	13.499987
127.340131	13.499987
127.373475	13.499987
127.406819	13.499987
127.440162	13.499987
127.473506	13.499987
127.506850	13.499987
127.540194	13.499987
127.573538	13.499987
127.606882	13.499987
127.640225	13.499987
127.673569	14.199987
127.706913	13.499987
127.740257	13.499987
127.773601	13.499987
127.806945	13.499987
127.840288	13.499987
127.873632	15.199987
127.906976	13.499986
127.940320	15.199986
127.973664	13.499986
128.007008	13.499986
128.040352	13.499986
128.073695	13.499986
128.107039	13.499986
128.140383	15.199986
128.173727	13.499986
128.207071	13.499986
128.240415	13.499986
128.273758	13.499986
128.307102	13.499986
128.340446	13.499986
128.373790	13.499986
128.407134	15.199986
128.440478	13.499986
128.473821	13.499986
128.507165	13.499986
128.540509	13.499986
128.573853	13.499986
128.607197	14.499986
128.640541	13.499986
128.673885	13.499987
128.707228	13.499987
128.740572	13.499987
128.773916	13.499987
128.807260	13.499987
128.840604	13.499987
128.873948	13.499987
128.907291	13.499987
128.940635	13.499987
128.973979	13.499987
129.007323	13.499987
129.040667	13.499987
129.074011	14.199987
129.107354	13.499987
129.140698	13.499987
129.174042	13.499987
129.207386	13.099987
129.240730	13.499987
129.274074	13.499987
129.307418	13.499987
129.340761	15.199987
129.374105	13.499986
129.407449	13.499986
129.440793	13.499986
129.474137	13.099986
129.507481	13.499986
129.540824	13.499987
129.574168	13.499987
129.607512	13.099987
129.640856	13.499987
129.674200	13.499987
129.707544	13.499987
129.740887	14.499987
129.774231	13.499986
129.807575	13.499987
129.840919	13.499987
129.874263	13.499987
129.907607	13.499987
129.940951	13.499987
129.974294	13.499987
130.007638	14.199987
130.040982	13.499987
130.074326	15.499987
130.107670	13.499986
130.141014	13.499987
130.174357	13.499987
130.207701	14.199987
130.241045	13.499987
130.274389	13.499987
130.307733	13.499987
130.341077	13.499987
130.374420	13.499987
130.407764	13.499987
130.441108	13.499987
130.474452	13.499987
130.507796	13.499987
130.541140	13.499987
130.574484	13.499987
130.607827	13.499987
130.641171	13.499987
130.674515	13.499987
130.707859	13.499987
130.741203	13.499987
130.774547	13.499987
130.807890	13.499987
130.841234	13.499987
130.874578	13.499987
130.907922	13.499987
130.941266	13.499987
130.974610	13.499987
131.007953	13.499987
131.041297	13.499987
131.074641	13.499987
131.107985	13.499987
131.141329	15.199987
131.174673	13.499986
131.208016	13.499986
131.241360	13.499986
131.274704	13.499986
131.308048	13.499986
131.341392	13.499986
131.374736	14.199986
131.408080	13.499986
131.441423	13.499986
131.474767	13.499986
131.508111	14.499986
131.541455	13.499986
131.574799	13.499987
131.608143	13.499987
131.641486	13.499987
131.674830	13.499987
131.708174	13.499987
131.741518	13.499987
131.774862	13.499987
131.808206	13.499987
131.841549	13.499987
131.874893	13.499987
131.908237	13.499987
131.941581	13.499987
131.974925	13.499987
132.008269	13.499987
132.041613	13.499987
132.074956	13.499987
132.108300	13.499987
132.141644	13.499987
132.174988	13.499987
132.208332	13.499987
132.241676	13.499987
132.275019	13.499987
132.308363	13.499987
132.341707	13.499987
132.375051	13.499987
132.408395	13.499987
132.441739	13.499987
132.475082	15.199987
132.508426	13.499986
132.541770	13.499986
132.575114	13.499986
132.608458	13.499986
132.641802	13.499986
132.675146	13.499986
132.708489	13.499986
132.741833	15.199986
132.775177	13.499986
132.808521	13.499986
132.841865	13.499986
132.875209	13.499986
132.908552	13.499986
132.941896	13.499986
132.975240	14.199986
133.008584	13.499986
133.041928	13.499986
133.075272	13.499986
133.108615	14.499986
133.141959	13.499986
133.175303	13.499987
133.208647	13.499987
133.241991	13.499987
133.275335	13.499987
133.308679	13.499987
133.342022	13.499987
133.375366	13.499987
133.408710	15.199987
133.442054	13.499986
133.475398	13.499986
133.508742	13.499986
133.542085	13.499986
133.575429	13.499986
133.608773	13.499986
133.642117	13.499986
133.675461	13.499986
133.708805	13.499986
133.742148	13.499986
133.775492	13.499986
133.808836	15.199986
133.842180	13.499986
133.875524	13.499986
133.908868	13.499986
133.942212	13.499986
133.975555	13.499986
134.008899	13.499986
134.042243	13.499986
134.075587	15.199986
134.108931	13.499986
134.142275	13.499986
134.175618	13.499986
134.208962	15.199986
134.242306	13.499986
134.275650	15.199986
134.308994	13.499986
134.342338	15.199986
134.375681	13.499986
134.409025	13.499986
134.442369	13.499986
134.475713	13.099986
134.509057	13.499986
134.542401	13.499987
134.575744	13.499987
134.609088	13.499987
134.642432	13.499987
134.675776	14.199987
134.709120	13.499987
134.742464	14.299987
134.775808	13.499987
134.809151	13.499987
134.842495	13.499987
134.875839	13.499987
134.909183	13.499987
134.942527	13.499987
134.975871	13.499987
135.009214	15.199987
135.042558	13.499986
135.075902	13.499986
135.109246	13.499986
135.142590	15.199986
135.175934	13.499986
135.209277	13.499986
135.242621	13.499986
135.275965	15.199986
135.309309	13.499986
135.342653	13.499986
135.375997	13.499986
135.409341	15.199986
135.442684	13.499986
135.476028	15.199986
135.509372	13.499986
135.542716	14.199986
135.576060	13.499986
135.609404	13.499986
135.642747	13.499986
135.676091	15.199986
135.709435	13.499986
135.742779	14.199986
135.776123	13.499986
135.809467	15.199986
135.842810	13.499986
135.876154	14.499986
135.909498	13.499986
135.942842	13.499987
135.976186	13.499987
136.009530	13.499987
136.042874	13.499987
136.076217	13.499987
136.109561	13.499987
136.142905	13.499987
136.176249	15.199987
136.209593	13.499986
136.242937	13.499986
136.276280	13.499986
136.309624	13.499986
136.342968	13.499986
136.376312	13.499986
136.409656	13.499986
136.443000	13.499986
136.476343	13.499986
136.509687	14.499986
136.543031	13.499986
136.576375	13.499987
136.609719	13.499987
136.643063	13.499987
136.676407	13.499987
136.709750	13.499987
136.743094	13.499987
136.776438	13.499987
136.809782	13.499987
136.843126	13.499987
136.876470	13.499987
136.909813	13.499987
136.943157	13.499987
136.976501	14.199987
137.009845	13.499987
137.043189	13.499987
137.076533	13.499987
137.109876	13.399987
137.143220	13.499986
137.176564	13.499987
137.209908	13.499987
137.243252	13.499987
137.276596	13.499987
137.309939	13.499987
137.343283	13.499987
137.376627	13.499987
137.409971	15.199987
137.443315	13.499986
137.476659	13.499986
137.510003	13.499986
137.543346	13.099986
137.576690	13.499986
137.610034	13.499987
137.643378	13.499987
137.676722	13.499987
137.710066	13.499987
137.743409	13.399987
137.776753	13.499986
137.810097	13.499987
137.843441	13.499987
137.876785	13.399987
137.910129	13.499986
137.943472	13.499987
137.976816	13.499987
138.010160	13.499987
138.043504	15.199987
138.076848	16.199986
138.110192	21.199985
138.143536	22.499986
138.176879	25.899985
138.210223	24.699985
138.243567	24.199984
138.276911	23.799984
138.310255	21.999984
138.343599	22.799984
138.376942	22.799984
138.410286	23.799984
138.443630	22.499984
138.476974	22.799985
138.510318	24.099984
138.543662	24.099984
138.577005	24.099984
138.610349	24.099984
138.643693	24.099984
138.677037	22.699984
138.710381	24.099983
138.743725	22.799982
138.777069	24.099983
138.810412	23.799982
138.843756	24.099983
138.877100	21.999982
138.910444	24.099982
138.943788	22.699982
138.977132	24.099983
139.010475	24.099982
139.043819	23.799982
139.077163	23.799983
139.110507	23.799983
139.143851	23.799983
139.177195	22.999983
139.210538	22.999983
139.243882	22.799983
139.277226	22.799983
139.310570	22.799983
139.343914	23.799983
139.377258	23.499983
139.410602	22.799982
139.443945	21.999983
139.477289	24.099982
139.510633	24.099982
139.543977	22.699982
139.577321	24.099983
139.610665	22.999982
139.644008	23.799983
139.677352	22.799983
139.710696	21.999983
139.744040	22.799982
139.777384	24.099983
139.810728	24.099982
139.844071	22.699982
139.877415	23.799983
139.910759	22.799983
139.944103	22.699983
